V_ttx	t_ttx
-0.05279999999999999	3.6105600000000004e-08
-0.05279999999999999	3.6106e-08
-0.05279999999999999	3.61064e-08
-0.05279999999999999	3.61068e-08
-0.05279999999999999	3.61072e-08
-0.05279999999999999	3.61076e-08
-0.047999999999999994	3.6108e-08
-0.047999999999999994	3.61084e-08
-0.047999999999999994	3.61088e-08
-0.047999999999999994	3.61092e-08
-0.047999999999999994	3.61096e-08
-0.047999999999999994	3.6110000000000004e-08
-0.043199999999999995	3.61104e-08
-0.043199999999999995	3.61108e-08
-0.043199999999999995	3.61112e-08
-0.043199999999999995	3.6111600000000004e-08
-0.043199999999999995	3.6112e-08
-0.043199999999999995	3.61124e-08
-0.043199999999999995	3.61128e-08
-0.043199999999999995	3.61132e-08
-0.043199999999999995	3.61136e-08
-0.043199999999999995	3.6114e-08
-0.043199999999999995	3.6114400000000003e-08
-0.043199999999999995	3.61148e-08
-0.043199999999999995	3.61152e-08
-0.043199999999999995	3.61156e-08
-0.043199999999999995	3.6116000000000004e-08
-0.043199999999999995	3.61164e-08
-0.043199999999999995	3.61168e-08
-0.043199999999999995	3.61172e-08
-0.043199999999999995	3.6117600000000004e-08
-0.043199999999999995	3.6118e-08
-0.043199999999999995	3.61184e-08
-0.043199999999999995	3.61188e-08
-0.043199999999999995	3.61192e-08
-0.043199999999999995	3.61196e-08
-0.043199999999999995	3.612e-08
-0.043199999999999995	3.6120400000000004e-08
-0.047999999999999994	3.61208e-08
-0.047999999999999994	3.61212e-08
-0.047999999999999994	3.61216e-08
-0.047999999999999994	3.6122000000000004e-08
-0.047999999999999994	3.61224e-08
-0.047999999999999994	3.61228e-08
-0.047999999999999994	3.61232e-08
-0.047999999999999994	3.61236e-08
-0.047999999999999994	3.6124e-08
-0.05279999999999999	3.61244e-08
-0.05279999999999999	3.61248e-08
-0.05279999999999999	3.61252e-08
-0.05279999999999999	3.61256e-08
-0.05279999999999999	3.6126e-08
-0.05279999999999999	3.6126400000000004e-08
-0.05279999999999999	3.61268e-08
-0.05279999999999999	3.61272e-08
-0.05279999999999999	3.61276e-08
-0.05279999999999999	3.6128000000000004e-08
-0.05279999999999999	3.61284e-08
-0.05279999999999999	3.61288e-08
-0.05279999999999999	3.61292e-08
-0.05279999999999999	3.61296e-08
-0.05279999999999999	3.613e-08
-0.05279999999999999	3.61304e-08
-0.05279999999999999	3.6130800000000003e-08
-0.05279999999999999	3.61312e-08
-0.05279999999999999	3.61316e-08
-0.05279999999999999	3.6132e-08
-0.05279999999999999	3.6132400000000004e-08
-0.05279999999999999	3.61328e-08
-0.05279999999999999	3.61332e-08
-0.05279999999999999	3.61336e-08
-0.05279999999999999	3.6134e-08
-0.05279999999999999	3.61344e-08
-0.05279999999999999	3.61348e-08
-0.05279999999999999	3.61352e-08
-0.05279999999999999	3.61356e-08
-0.05279999999999999	3.6136e-08
-0.05279999999999999	3.61364e-08
-0.047999999999999994	3.6136800000000004e-08
-0.047999999999999994	3.61372e-08
-0.047999999999999994	3.61376e-08
-0.047999999999999994	3.6138e-08
-0.047999999999999994	3.6138400000000004e-08
-0.047999999999999994	3.61388e-08
-0.047999999999999994	3.61392e-08
